"check_date","time_of_check","currency_name","coin_gecko_url","currency_website","currency_categories","currency_price","market_cap","trading_volume","market_cap_rank","all_time_high","all_time_low","one_day_low","one_day_high","seven_day_low","seven_day_high"
"2022-02-21","18:49:05","TRON","https://www.coingecko.com/en/coins/tron","https://tron.network","['Smart Contract Platform']","$0.061538502417","$6,267,598,040","$792,993,099","#23","$0.231673","$0.001804341635","$0.061566031508","$0.063741363468","$0.061458602091","$0.067035582008"
"2022-02-21","18:49:05","Near","https://www.coingecko.com/en/coins/near","https://nearprotocol.com/","['Near Protocol Ecosystem', 'Smart Contract Platform']","$9.01","$5,764,597,482","$315,891,377","#24","$20.44","$0.526762","$9.00","$9.81","$9.03","$11.69"
"2022-02-21","18:49:05","FTX Token","https://www.coingecko.com/en/coins/ftx-token","https://ftx.com","['Centralized Exchange Token (CEX)', 'Exchange-based Tokens']","$40.65","$5,614,158,660","$97,449,584","#25","$84.18","$1.15","$40.32","$42.53","$40.45","$47.18"
"2022-02-21","18:49:05","Bitcoin Cash","https://www.coingecko.com/en/coins/bitcoin-cash","https://bch.info/","['Cryptocurrency']","$294.67","$5,607,061,276","$1,224,275,085","#26","$3,785.82","$76.93","$293.50","$310.66","$294.28","$342.87"
"2022-02-21","18:49:05","Algorand","https://www.coingecko.com/en/coins/algorand","https://algorand.foundation/","['Smart Contract Platform', 'Cryptocurrency']","$0.828621","$5,488,112,304","$127,002,356","#27","$3.56","$0.105336","$0.825721","$0.879532","$0.828439","$1.00"
"2022-02-21","18:49:05","LEO Token","https://www.coingecko.com/en/coins/leo-token","https://www.bitfinex.com/","['Centralized Exchange Token (CEX)', 'Exchange-based Tokens']","$5.81","$5,415,301,235","$793,725","#28","$8.14","$0.799859","$5.73","$6.00","$5.53","$6.25"
"2022-02-21","18:49:05","Lido Staked Ether","https://www.coingecko.com/en/coins/lido-staked-ether","https://www.lido.fi","['Eth 2.0 Staking', 'Decentralized Finance (DeFi)']","$2,618.79","$4,991,045,496","$5,153,959","#29","$4,829.57","$482.90","$2,584.52","$2,750.55","$2,599.23","$3,180.53"
"2022-02-21","18:49:05","OKB","https://www.coingecko.com/en/coins/okb","https://www.okex.com/okb","['Centralized Exchange Token (CEX)', 'Exchange-based Tokens']","$18.82","$4,945,176,073","$65,468,771","#30","$44.01","$0.580608","$18.62","$19.37","$18.67","$21.65"
"2022-02-21","18:49:05","Stellar","https://www.coingecko.com/en/coins/stellar","https://www.stellar.org/","['Smart Contract Platform', 'Cryptocurrency']","$0.190513","$4,733,266,053","$305,075,244","#31","$0.875563","$0.000476123392","$0.189120","$0.201256","$0.189341","$0.225566"
"2022-02-21","18:49:05","Fantom","https://www.coingecko.com/en/coins/fantom","http://fantom.foundation","['Moonriver Ecosystem', 'Fantom Ecosystem', 'BNB Chain Ecosystem', 'Smart Contract Platform', 'Infrastructure']","$1.67","$4,250,286,804","$605,150,501","#32","$3.46","$0.001902269746","$1.66","$1.81","$1.67","$2.13"
